Series Number,Filename,Name,Description,Gender,Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strength. Weakness,UUID,sha256Hash
406,bukola-nosend,bukola nosend,Bukola is friends with many but always get moody.,female,"Hair: Brunette bob, Skin Colour: Dark brown",59d19b13-09e2-412e-a669-df020e03ae10,a8c771358ec7f84a51fa3c3177ddea1013ae5d567f6badd245508265f7ae839e
407,burna-morgan,burna morgan,Morgan paints the town red with her red hair.,female,"Hair: Two brunette buns, Skin colour: Dark brown, Accessories: Tobacco pipe",d08af477-de20-4780-8449-46b87840b9fa,621cd5ceade8c4755ad2310d4b4320057554b2268a6ff34bbd9d59dc6737da4d
408,afro-star,afro star,Bimbo is an afro star with great affluence.,female,"Hair: Orange afro, Skin Colour: Caramel",40743b16-ae12-4b4a-989c-e5fbf1e2e0ca,93bb6aed3e353c5772bfaaf375882253537e2441d94b665fecd22b119402e856
409,fiesty-sandra,fiesty sandra,"Sandra is a social animal, correct owambe ambassador.",female,"Hair: Brown bun, Accessories: Purple bubblegum",d875aa6c-3e4a-4450-b09c-e9f1cdcc3947,5283b501354f538a3888d6fe1c310339209cec6943c0fd39b756d39707005108
410,sister-nkechi-sabi,sister nkechi sabi,"Nkechi is the true definition of amebo, always in peoples business.",female,"Hair: Black low cut, Skin Colour: Brown",a728a380-1d33-4080-841d-80b041474d8f,de3a221fb8015190ae3d631cc22c5ec8eb7759ac0a7e9735fa165db63d2f6876
411,unfriendly-gina,unfriendly gina,"Gina is an angry one, she has no friends but she has a lot of money.",female,"Hair: Orange bun, Skin Colour: Caramel, Expression: Stoic",dd30a327-8a74-40a5-8207-19a790508ccc,6145e4aa6062259d8b76af51e776161686d885de97a59c2736e21673f5c1ee1c
412,dada-ganster,dada ganster,"Dada respects no one, always finds pleasure terrorising others.",female,"Hair: Purple dreadlocks, Skin Colour: Brown, Expression: Annoyed",e1a43f65-aad2-4385-ac5e-bc159c6e0f2a,3912302115cd6488575047bd70ce5747eee7e4ab439839a3e13d5dd673dad148
413,idoncare-linda,idoncare linda,"Linda is a beautiful but very annoying girl, she turns every thing to a fight.",female,"Hair: Orange bob, Skin Colour: Caramel, Expression: Mischievous",ed04b47c-ae98-4db2-b71b-04d7bb976d45,a6628f3215f61f45300448c3356c4dc11efb691559faccb013f55e0ca6dd36c9
414,doubting-vivian,doubting vivian,"Vivian just like the thomas in the bible, she doubts all.",female,"Hair: Long red braids, Skin Colour: Caramel, Expression: Pissed",a0282797-44ef-4bfb-a701-e4ed5e727d63,f9b746db2e85577d0bde1f3ebffac7522efaa36fa04750b314981761646a94ba
415,simbi-side-eyed,simbi side eyed,Simbi is reserved but doesn't allow anyone intimidate her.,female,"Hair: Two orange buns, Skin Colour: Brown",1f99104c-e98b-4c9a-9891-00a481e86008,1649534097c5f6e50a7f3632a81bd9099bd631529b625a86e461c7128911b0de
416,bambi-tekno,bambi tekno,Bambi is the dancer of the team.,female,"Hair: Brown low buns, Skin Colour: Blue,  Accessories: Yellow sunglasses",95ff5e2c-1ff2-4d58-890b-de0f39f9d8ce,4f94d963b6c34eb39cae6413539b4596e84a6ea5886e8aadaaae491d4c2cb64d
417,saka-portable,saka portable,Saka is forever convinced that his toothless smile is the icing on his cake.,male,"Skin Colour: Blue, Accessories: Purple cap and yellow sunglasses",bd98f74f-e42e-494e-8298-3183555ca666,b8a12aac919c0f8bcfbfdfa4c3b70cd8ba12ab8d7b68e53b17cc8b92ba8509c1
418,king-of-boys,king of boys,Busayo finds her way in ruling the boys and that's why she's king of boys.,female,"Hair: Black buns, Skin color: White, Accessories: Cigarette pipe",a650e79c-f964-4eb1-aa89-f9c1dbdede76,c9818ecc854ad5750b901a5af14e8a9445ddebf2d360eb99e1f512a8c7fe5b45
419,funky-alte-pop,funky alte pop,"Funke is always the life of every party, strong gen z advocate.",female,"Hair:  Two red buns, Skin color: White, Acessories Yellow sun shades, Expression: Rugged",b6753a8b-6127-4e97-812b-99e465791ba3,b9e9aed84b44b4ad1b546b53f90cb38c2fdd3b829483b5216a9d43e9ccfa360f
420,madame-ngozi,madame ngozi,Ngozi make heads turn with her bright colours.,female,"Hair: Brown afro, Skin  color: White, Accessories: Yellow sunglasses, Expression: Pissed",7ecdbb1d-9a89-4136-b240-499051836979,f722dee107f8f15bfc893dd6a5665fcd8be1576953044c8a5e12d2fb8ace94af
